,year,IAM_region,powertrain,size,vintage_year,vintage_demand_vkm
0,2015,CAZ,BEV,Large,1996,3
1,2015,CAZ,BEV,Large,1997,1
2,2015,CAZ,BEV,Large,1998,1
3,2015,CAZ,BEV,Large,1999,1
4,2015,CAZ,BEV,Large,2000,1
5,2015,CAZ,BEV,Large,2001,3
6,2015,CAZ,BEV,Large,2002,3
7,2015,CAZ,BEV,Large,2003,3
8,2015,CAZ,BEV,Large,2004,3
9,2015,CAZ,BEV,Large,2005,3
10,2015,CAZ,BEV,Large,2006,6
11,2015,CAZ,BEV,Large,2007,6
12,2015,CAZ,BEV,Large,2008,6
13,2015,CAZ,BEV,Large,2009,9
14,2015,CAZ,BEV,Large,2010,9
15,2015,CAZ,BEV,Large,2011,12
16,2015,CAZ,BEV,Large,2012,15
17,2015,CAZ,BEV,Large,2013,19
18,2015,CAZ,BEV,Large,2014,22
19,2020,CAZ,BEV,Large,1996,1
24,2020,CAZ,BEV,Large,2001,1
25,2020,CAZ,BEV,Large,2002,1
26,2020,CAZ,BEV,Large,2003,1
27,2020,CAZ,BEV,Large,2004,1
28,2020,CAZ,BEV,Large,2005,1
29,2020,CAZ,BEV,Large,2006,2
30,2020,CAZ,BEV,Large,2007,2
31,2020,CAZ,BEV,Large,2008,2
32,2020,CAZ,BEV,Large,2009,3
33,2020,CAZ,BEV,Large,2010,3
34,2020,CAZ,BEV,Large,2011,11
35,2020,CAZ,BEV,Large,2012,14
36,2020,CAZ,BEV,Large,2013,18
37,2020,CAZ,BEV,Large,2014,22
38,2020,CAZ,BEV,Large,2015,26
39,2020,CAZ,BEV,Large,2016,43
40,2020,CAZ,BEV,Large,2017,66
41,2020,CAZ,BEV,Large,2018,90
42,2020,CAZ,BEV,Large,2019,114
58,2025,CAZ,BEV,Large,2011,4
59,2025,CAZ,BEV,Large,2012,7
60,2025,CAZ,BEV,Large,2013,12
61,2025,CAZ,BEV,Large,2014,16
62,2025,CAZ,BEV,Large,2015,21
63,2025,CAZ,BEV,Large,2016,37
64,2025,CAZ,BEV,Large,2017,60
65,2025,CAZ,BEV,Large,2018,84
66,2025,CAZ,BEV,Large,2019,108
67,2025,CAZ,BEV,Large,2020,132
68,2025,CAZ,BEV,Large,2021,326
69,2025,CAZ,BEV,Large,2022,455
70,2025,CAZ,BEV,Large,2023,585
71,2025,CAZ,BEV,Large,2024,718
91,2030,CAZ,BEV,Large,2015,3
92,2030,CAZ,BEV,Large,2016,13
93,2030,CAZ,BEV,Large,2017,32
94,2030,CAZ,BEV,Large,2018,55
95,2030,CAZ,BEV,Large,2019,81
96,2030,CAZ,BEV,Large,2020,108
97,2030,CAZ,BEV,Large,2021,283
98,2030,CAZ,BEV,Large,2022,412
99,2030,CAZ,BEV,Large,2023,545
100,2030,CAZ,BEV,Large,2024,681
101,2030,CAZ,BEV,Large,2025,818
102,2030,CAZ,BEV,Large,2026,1310
103,2030,CAZ,BEV,Large,2027,1726
104,2030,CAZ,BEV,Large,2028,2111
105,2030,CAZ,BEV,Large,2029,2478
130,2035,CAZ,BEV,Large,2020,15
131,2035,CAZ,BEV,Large,2021,104
132,2035,CAZ,BEV,Large,2022,219
133,2035,CAZ,BEV,Large,2023,356
134,2035,CAZ,BEV,Large,2024,508
135,2035,CAZ,BEV,Large,2025,667
136,2035,CAZ,BEV,Large,2026,1136
137,2035,CAZ,BEV,Large,2027,1561
138,2035,CAZ,BEV,Large,2028,1964
139,2035,CAZ,BEV,Large,2029,2346
140,2035,CAZ,BEV,Large,2030,2701
141,2035,CAZ,BEV,Large,2031,3155
142,2035,CAZ,BEV,Large,2032,3827
143,2035,CAZ,BEV,Large,2033,4664
144,2035,CAZ,BEV,Large,2034,5614
174,2040,CAZ,BEV,Large,2025,100
175,2040,CAZ,BEV,Large,2026,435
176,2040,CAZ,BEV,Large,2027,862
177,2040,CAZ,BEV,Large,2028,1332
178,2040,CAZ,BEV,Large,2029,1815
179,2040,CAZ,BEV,Large,2030,2285
180,2040,CAZ,BEV,Large,2031,2838
181,2040,CAZ,BEV,Large,2032,3591
182,2040,CAZ,BEV,Large,2033,4500
