,year,IAM_region,powertrain,size,vintage_year,vintage_demand_vkm
0,2015,CAZ,BEV,Large,1996,3
1,2015,CAZ,BEV,Large,1997,1
2,2015,CAZ,BEV,Large,1998,1
3,2015,CAZ,BEV,Large,1999,1
4,2015,CAZ,BEV,Large,2000,1
5,2015,CAZ,BEV,Large,2001,3
6,2015,CAZ,BEV,Large,2002,3
7,2015,CAZ,BEV,Large,2003,3
8,2015,CAZ,BEV,Large,2004,3
9,2015,CAZ,BEV,Large,2005,3
10,2015,CAZ,BEV,Large,2006,6
11,2015,CAZ,BEV,Large,2007,6
12,2015,CAZ,BEV,Large,2008,6
13,2015,CAZ,BEV,Large,2009,9
14,2015,CAZ,BEV,Large,2010,9
15,2015,CAZ,BEV,Large,2011,11
16,2015,CAZ,BEV,Large,2012,15
17,2015,CAZ,BEV,Large,2013,18
18,2015,CAZ,BEV,Large,2014,22
19,2020,CAZ,BEV,Large,1996,1
24,2020,CAZ,BEV,Large,2001,1
25,2020,CAZ,BEV,Large,2002,1
26,2020,CAZ,BEV,Large,2003,1
27,2020,CAZ,BEV,Large,2004,1
28,2020,CAZ,BEV,Large,2005,1
29,2020,CAZ,BEV,Large,2006,2
30,2020,CAZ,BEV,Large,2007,2
31,2020,CAZ,BEV,Large,2008,2
32,2020,CAZ,BEV,Large,2009,3
33,2020,CAZ,BEV,Large,2010,3
34,2020,CAZ,BEV,Large,2011,10
35,2020,CAZ,BEV,Large,2012,14
36,2020,CAZ,BEV,Large,2013,18
37,2020,CAZ,BEV,Large,2014,21
38,2020,CAZ,BEV,Large,2015,25
39,2020,CAZ,BEV,Large,2016,39
40,2020,CAZ,BEV,Large,2017,59
41,2020,CAZ,BEV,Large,2018,79
42,2020,CAZ,BEV,Large,2019,99
58,2025,CAZ,BEV,Large,2011,4
59,2025,CAZ,BEV,Large,2012,7
60,2025,CAZ,BEV,Large,2013,12
61,2025,CAZ,BEV,Large,2014,16
62,2025,CAZ,BEV,Large,2015,21
63,2025,CAZ,BEV,Large,2016,35
64,2025,CAZ,BEV,Large,2017,55
65,2025,CAZ,BEV,Large,2018,76
66,2025,CAZ,BEV,Large,2019,97
67,2025,CAZ,BEV,Large,2020,118
68,2025,CAZ,BEV,Large,2021,211
69,2025,CAZ,BEV,Large,2022,232
70,2025,CAZ,BEV,Large,2023,253
71,2025,CAZ,BEV,Large,2024,275
91,2030,CAZ,BEV,Large,2015,3
92,2030,CAZ,BEV,Large,2016,13
93,2030,CAZ,BEV,Large,2017,30
94,2030,CAZ,BEV,Large,2018,51
95,2030,CAZ,BEV,Large,2019,75
96,2030,CAZ,BEV,Large,2020,100
97,2030,CAZ,BEV,Large,2021,190
98,2030,CAZ,BEV,Large,2022,218
99,2030,CAZ,BEV,Large,2023,244
100,2030,CAZ,BEV,Large,2024,270
101,2030,CAZ,BEV,Large,2025,295
102,2030,CAZ,BEV,Large,2026,312
103,2030,CAZ,BEV,Large,2027,333
104,2030,CAZ,BEV,Large,2028,348
105,2030,CAZ,BEV,Large,2029,363
130,2035,CAZ,BEV,Large,2020,15
131,2035,CAZ,BEV,Large,2021,73
132,2035,CAZ,BEV,Large,2022,120
133,2035,CAZ,BEV,Large,2023,166
134,2035,CAZ,BEV,Large,2024,209
135,2035,CAZ,BEV,Large,2025,249
136,2035,CAZ,BEV,Large,2026,281
137,2035,CAZ,BEV,Large,2027,312
138,2035,CAZ,BEV,Large,2028,336
139,2035,CAZ,BEV,Large,2029,357
140,2035,CAZ,BEV,Large,2030,375
141,2035,CAZ,BEV,Large,2031,361
142,2035,CAZ,BEV,Large,2032,383
143,2035,CAZ,BEV,Large,2033,417
144,2035,CAZ,BEV,Large,2034,458
174,2040,CAZ,BEV,Large,2025,37
175,2040,CAZ,BEV,Large,2026,107
176,2040,CAZ,BEV,Large,2027,172
177,2040,CAZ,BEV,Large,2028,228
178,2040,CAZ,BEV,Large,2029,276
179,2040,CAZ,BEV,Large,2030,317
180,2040,CAZ,BEV,Large,2031,325
181,2040,CAZ,BEV,Large,2032,359
182,2040,CAZ,BEV,Large,2033,402
183,2040,CAZ,BEV,Large,2034,450
