,year,IAM_region,powertrain,size,vintage_year,vintage_demand_vkm
420,2015,LAM,BEV,Lower medium,2011,21
421,2020,LAM,BEV,Lower medium,2011,19
422,2025,LAM,BEV,Lower medium,2011,7
434,2015,LAM,FCEV,Lower medium,2011,11
435,2020,LAM,FCEV,Lower medium,2011,9
436,2025,LAM,FCEV,Lower medium,2011,3
476,2015,LAM,ICEV-d,Lower medium,2011,36977
477,2020,LAM,ICEV-d,Lower medium,2011,33258
478,2025,LAM,ICEV-d,Lower medium,2011,12752
490,2015,LAM,ICEV-g,Lower medium,2011,21
491,2020,LAM,ICEV-g,Lower medium,2011,19
492,2025,LAM,ICEV-g,Lower medium,2011,7
504,2015,LAM,BEV,Large,2011,11
505,2020,LAM,BEV,Large,2011,10
506,2025,LAM,BEV,Large,2011,3
518,2015,LAM,FCEV,Large,2011,5
519,2020,LAM,FCEV,Large,2011,5
520,2025,LAM,FCEV,Large,2011,2
560,2015,LAM,ICEV-d,Large,2011,13922
561,2020,LAM,ICEV-d,Large,2011,12522
562,2025,LAM,ICEV-d,Large,2011,4801
574,2015,LAM,ICEV-g,Large,2011,11
575,2020,LAM,ICEV-g,Large,2011,10
576,2025,LAM,ICEV-g,Large,2011,4
588,2015,LAM,BEV,Mini,2011,15
589,2020,LAM,BEV,Mini,2011,14
590,2025,LAM,BEV,Mini,2011,5
602,2015,LAM,FCEV,Mini,2011,8
603,2020,LAM,FCEV,Mini,2011,7
604,2025,LAM,FCEV,Mini,2011,2
644,2015,LAM,ICEV-d,Mini,2011,20769
645,2020,LAM,ICEV-d,Mini,2011,18683
646,2025,LAM,ICEV-d,Mini,2011,7163
658,2015,LAM,ICEV-g,Mini,2011,15
659,2020,LAM,ICEV-g,Mini,2011,14
660,2025,LAM,ICEV-g,Mini,2011,5
672,2015,LAM,BEV,Small,2011,22
673,2020,LAM,BEV,Small,2011,19
674,2025,LAM,BEV,Small,2011,7
686,2015,LAM,FCEV,Small,2011,11
687,2020,LAM,FCEV,Small,2011,10
688,2025,LAM,FCEV,Small,2011,3
728,2015,LAM,ICEV-d,Small,2011,31568
729,2020,LAM,ICEV-d,Small,2011,28395
730,2025,LAM,ICEV-d,Small,2011,10887
742,2015,LAM,ICEV-g,Small,2011,22
743,2020,LAM,ICEV-g,Small,2011,20
744,2025,LAM,ICEV-g,Small,2011,7
812,2015,LAM,ICEV-d,Van,2011,17
813,2020,LAM,ICEV-d,Van,2011,15
814,2025,LAM,ICEV-d,Van,2011,5
840,2015,LAM,BEV,Lower medium,2012,27
841,2020,LAM,BEV,Lower medium,2012,25
842,2025,LAM,BEV,Lower medium,2012,14
854,2015,LAM,FCEV,Lower medium,2012,11
855,2020,LAM,FCEV,Lower medium,2012,10
856,2025,LAM,FCEV,Lower medium,2012,5
896,2015,LAM,ICEV-d,Lower medium,2012,36951
897,2020,LAM,ICEV-d,Lower medium,2012,34663
898,2025,LAM,ICEV-d,Lower medium,2012,19143
910,2015,LAM,ICEV-g,Lower medium,2012,22
911,2020,LAM,ICEV-g,Lower medium,2012,21
912,2025,LAM,ICEV-g,Lower medium,2012,11
924,2015,LAM,BEV,Large,2012,14
925,2020,LAM,BEV,Large,2012,13
926,2025,LAM,BEV,Large,2012,7
938,2015,LAM,FCEV,Large,2012,6
939,2020,LAM,FCEV,Large,2012,5
940,2025,LAM,FCEV,Large,2012,3
980,2015,LAM,ICEV-d,Large,2012,13962
981,2020,LAM,ICEV-d,Large,2012,13098
982,2025,LAM,ICEV-d,Large,2012,7233
994,2015,LAM,ICEV-g,Large,2012,12
995,2020,LAM,ICEV-g,Large,2012,11
996,2025,LAM,ICEV-g,Large,2012,6
1008,2015,LAM,BEV,Mini,2012,19
1009,2020,LAM,BEV,Mini,2012,18
1010,2025,LAM,BEV,Mini,2012,10
1022,2015,LAM,FCEV,Mini,2012,8
1023,2020,LAM,FCEV,Mini,2012,7
1024,2025,LAM,FCEV,Mini,2012,4
1064,2015,LAM,ICEV-d,Mini,2012,20716
1065,2020,LAM,ICEV-d,Mini,2012,19436
1066,2025,LAM,ICEV-d,Mini,2012,10734
1078,2015,LAM,ICEV-g,Mini,2012,16
1079,2020,LAM,ICEV-g,Mini,2012,15
1080,2025,LAM,ICEV-g,Mini,2012,8
1092,2015,LAM,BEV,Small,2012,28
1093,2020,LAM,BEV,Small,2012,26
1094,2025,LAM,BEV,Small,2012,14
1106,2015,LAM,FCEV,Small,2012,11
1107,2020,LAM,FCEV,Small,2012,11
1108,2025,LAM,FCEV,Small,2012,6
1148,2015,LAM,ICEV-d,Small,2012,31561
1149,2020,LAM,ICEV-d,Small,2012,29609
1150,2025,LAM,ICEV-d,Small,2012,16352
1162,2015,LAM,ICEV-g,Small,2012,23
1163,2020,LAM,ICEV-g,Small,2012,21
1164,2025,LAM,ICEV-g,Small,2012,12
1232,2015,LAM,ICEV-d,Van,2012,17
1233,2020,LAM,ICEV-d,Van,2012,15
1234,2025,LAM,ICEV-d,Van,2012,8
1260,2015,LAM,BEV,Lower medium,2013,33
1261,2020,LAM,BEV,Lower medium,2013,32
1262,2025,LAM,BEV,Lower medium,2013,21
1274,2015,LAM,FCEV,Lower medium,2013,11
1275,2020,LAM,FCEV,Lower medium,2013,11
1276,2025,LAM,FCEV,Lower medium,2013,7
1316,2015,LAM,ICEV-d,Lower medium,2013,36869
1317,2020,LAM,ICEV-d,Lower medium,2013,35567
1318,2025,LAM,ICEV-d,Lower medium,2013,24130
1330,2015,LAM,ICEV-g,Lower medium,2013,23
1331,2020,LAM,ICEV-g,Lower medium,2013,22
1332,2025,LAM,ICEV-g,Lower medium,2013,15
1344,2015,LAM,BEV,Large,2013,17
1345,2020,LAM,BEV,Large,2013,16
1346,2025,LAM,BEV,Large,2013,11
1358,2015,LAM,FCEV,Large,2013,6
1359,2020,LAM,FCEV,Large,2013,6
1360,2025,LAM,FCEV,Large,2013,4
1400,2015,LAM,ICEV-d,Large,2013,13980
1401,2020,LAM,ICEV-d,Large,2013,13487
1402,2025,LAM,ICEV-d,Large,2013,9150
1414,2015,LAM,ICEV-g,Large,2013,12
1415,2020,LAM,ICEV-g,Large,2013,12
1416,2025,LAM,ICEV-g,Large,2013,8
1428,2015,LAM,BEV,Mini,2013,23
1429,2020,LAM,BEV,Mini,2013,22
1430,2025,LAM,BEV,Mini,2013,15
1442,2015,LAM,FCEV,Mini,2013,8
