,year,IAM_region,powertrain,size,vintage_year,vintage_demand_vkm
0,2015,CAZ,BEV,Large,1996,3
1,2015,CAZ,BEV,Large,1997,1
2,2015,CAZ,BEV,Large,1998,1
3,2015,CAZ,BEV,Large,1999,1
4,2015,CAZ,BEV,Large,2000,1
5,2015,CAZ,BEV,Large,2001,3
6,2015,CAZ,BEV,Large,2002,3
7,2015,CAZ,BEV,Large,2003,3
8,2015,CAZ,BEV,Large,2004,3
9,2015,CAZ,BEV,Large,2005,3
10,2015,CAZ,BEV,Large,2006,6
11,2015,CAZ,BEV,Large,2007,6
12,2015,CAZ,BEV,Large,2008,6
13,2015,CAZ,BEV,Large,2009,9
14,2015,CAZ,BEV,Large,2010,9
15,2015,CAZ,BEV,Large,2011,12
16,2015,CAZ,BEV,Large,2012,15
17,2015,CAZ,BEV,Large,2013,19
18,2015,CAZ,BEV,Large,2014,22
19,2020,CAZ,BEV,Large,1996,1
24,2020,CAZ,BEV,Large,2001,1
25,2020,CAZ,BEV,Large,2002,1
26,2020,CAZ,BEV,Large,2003,1
27,2020,CAZ,BEV,Large,2004,1
28,2020,CAZ,BEV,Large,2005,1
29,2020,CAZ,BEV,Large,2006,2
30,2020,CAZ,BEV,Large,2007,2
31,2020,CAZ,BEV,Large,2008,2
32,2020,CAZ,BEV,Large,2009,3
33,2020,CAZ,BEV,Large,2010,3
34,2020,CAZ,BEV,Large,2011,11
35,2020,CAZ,BEV,Large,2012,14
36,2020,CAZ,BEV,Large,2013,18
37,2020,CAZ,BEV,Large,2014,22
38,2020,CAZ,BEV,Large,2015,26
39,2020,CAZ,BEV,Large,2016,44
40,2020,CAZ,BEV,Large,2017,69
41,2020,CAZ,BEV,Large,2018,94
42,2020,CAZ,BEV,Large,2019,119
58,2025,CAZ,BEV,Large,2011,4
59,2025,CAZ,BEV,Large,2012,8
60,2025,CAZ,BEV,Large,2013,12
61,2025,CAZ,BEV,Large,2014,17
62,2025,CAZ,BEV,Large,2015,22
63,2025,CAZ,BEV,Large,2016,40
64,2025,CAZ,BEV,Large,2017,65
65,2025,CAZ,BEV,Large,2018,90
66,2025,CAZ,BEV,Large,2019,117
67,2025,CAZ,BEV,Large,2020,143
68,2025,CAZ,BEV,Large,2021,386
69,2025,CAZ,BEV,Large,2022,539
70,2025,CAZ,BEV,Large,2023,693
71,2025,CAZ,BEV,Large,2024,851
91,2030,CAZ,BEV,Large,2015,3
92,2030,CAZ,BEV,Large,2016,15
93,2030,CAZ,BEV,Large,2017,36
94,2030,CAZ,BEV,Large,2018,61
95,2030,CAZ,BEV,Large,2019,90
96,2030,CAZ,BEV,Large,2020,121
97,2030,CAZ,BEV,Large,2021,347
98,2030,CAZ,BEV,Large,2022,505
99,2030,CAZ,BEV,Large,2023,669
100,2030,CAZ,BEV,Large,2024,836
101,2030,CAZ,BEV,Large,2025,1005
102,2030,CAZ,BEV,Large,2026,1489
103,2030,CAZ,BEV,Large,2027,1964
104,2030,CAZ,BEV,Large,2028,2409
105,2030,CAZ,BEV,Large,2029,2841
130,2035,CAZ,BEV,Large,2020,18
131,2035,CAZ,BEV,Large,2021,133
132,2035,CAZ,BEV,Large,2022,279
133,2035,CAZ,BEV,Large,2023,454
134,2035,CAZ,BEV,Large,2024,647
135,2035,CAZ,BEV,Large,2025,850
136,2035,CAZ,BEV,Large,2026,1340
137,2035,CAZ,BEV,Large,2027,1843
138,2035,CAZ,BEV,Large,2028,2325
139,2035,CAZ,BEV,Large,2029,2790
140,2035,CAZ,BEV,Large,2030,3234
141,2035,CAZ,BEV,Large,2031,3930
142,2035,CAZ,BEV,Large,2032,4790
143,2035,CAZ,BEV,Large,2033,5847
144,2035,CAZ,BEV,Large,2034,7058
174,2040,CAZ,BEV,Large,2025,128
175,2040,CAZ,BEV,Large,2026,513
176,2040,CAZ,BEV,Large,2027,1017
177,2040,CAZ,BEV,Large,2028,1577
178,2040,CAZ,BEV,Large,2029,2159
179,2040,CAZ,BEV,Large,2030,2736
180,2040,CAZ,BEV,Large,2031,3535
181,2040,CAZ,BEV,Large,2032,4494
182,2040,CAZ,BEV,Large,2033,5642
